partner,host,class,t_lat_s,t_lat_min_s,inv_bw_s_per_word,bw_GB_s,m2_words,m_eager_words,m_eager_bytes,eager_score
135,ccc0392.campuscluster.illinois.edu,inter,2.5145105e-06,2.503505e-06,2.8386399394431855e-10,28.182510535553313,264.86186214353455,1011,8088,0.8134968775672633
136,ccc0392.campuscluster.illinois.edu,inter,2.731359e-06,2.731359e-06,1.8506233073661164e-10,43.228678511489896,210.058156728305,1011,8088,0.6502395138136089
137,ccc0392.campuscluster.illinois.edu,inter,2.493847e-06,2.493847e-06,3.1622540068702585e-10,25.29841050914739,299.02287370217704,1011,8088,0.7633638374745924
138,ccc0392.campuscluster.illinois.edu,inter,2.6938935e-06,2.6938935e-06,2.9040372187547986e-09,2.75478563027173,195.953093265714,1011,8088,0.63774009273526
139,ccc0392.campuscluster.illinois.edu,inter,2.5136285e-06,2.5124015e-06,3.3582595494180566e-10,23.821863326157438,297.09488337017217,1011,8088,0.780901846740139
140,ccc0392.campuscluster.illinois.edu,inter,2.684075e-06,2.684075e-06,2.9186788818422624e-09,2.7409661438843935,195.9575380715593,1011,8088,0.5894237492480296
141,ccc0392.campuscluster.illinois.edu,inter,2.5217995e-06,2.514886e-06,3.2779577886076185e-10,24.405439349474257,297.10488201597485,1011,8088,0.764517455820058
142,ccc0392.campuscluster.illinois.edu,inter,2.712198e-06,2.691624e-06,2.9655522666881495e-09,2.697642557126194,198.45318364949011,1011,8088,0.6943813666933963
143,ccc0392.campuscluster.illinois.edu,inter,2.5159185e-06,2.5129675e-06,3.129483084896312e-10,25.563327178887953,316.0772822033481,1011,8088,0.7591953899487792
144,ccc0392.campuscluster.illinois.edu,inter,2.6871655e-06,2.6871655e-06,2.887349767503656e-09,2.7707069264824944,197.4217119611053,1011,8088,0.6313702568111021
145,ccc0392.campuscluster.illinois.edu,inter,2.5022825e-06,2.5022825e-06,3.1906193151353207e-10,25.07350206917651,314.749871919782,1011,8088,0.7677975096821363
146,ccc0392.campuscluster.illinois.edu,inter,2.6985075e-06,2.6891795e-06,2.8958782527752555e-09,2.7625470761186963,194.0765370383272,1011,8088,0.6407352706476981
147,ccc0392.campuscluster.illinois.edu,inter,2.521183e-06,2.5091755e-06,3.404880454379873e-10,23.495685405662886,301.6533286813757,1011,8088,0.7716180318226877
148,ccc0392.campuscluster.illinois.edu,inter,2.6892045e-06,2.6876565e-06,2.8930651878428624e-09,2.7652332320810884,196.87132218209027,1011,8088,0.6381057079207028
149,ccc0392.campuscluster.illinois.edu,inter,2.520958e-06,2.5122965e-06,3.1568941526430737e-10,25.34136278627553,296.8762924134569,1011,8088,0.7636078101218325
150,ccc0392.campuscluster.illinois.edu,inter,2.6929015e-06,2.6929015e-06,2.8988827940684275e-09,2.7596838397086163,197.0328668603963,1011,8088,0.632415223629878
151,ccc0392.campuscluster.illinois.edu,inter,2.518994e-06,2.5109735e-06,3.34968932851787e-10,23.882811853300268,297.1038512828,1011,8088,0.7638334927487451
152,ccc0392.campuscluster.illinois.edu,inter,2.7042125e-06,2.701272e-06,2.8973042623509402e-09,2.7611873920030106,197.599654674287,1011,8088,0.6381172396398823
153,ccc0392.campuscluster.illinois.edu,inter,2.5203765e-06,2.503405e-06,3.49038984364113e-10,22.920075860794114,270.20905718944806,1011,8088,0.7608215309182433
154,ccc0392.campuscluster.illinois.edu,inter,2.706342e-06,2.6853525e-06,2.8911496459816424e-09,2.767065347557868,199.49529160406442,1011,8088,0.6321700961326696
