partner,host,class,socket,t_lat_s,t_lat_min_s,inv_bw_s_per_word,bw_GB_s,m2_words,m_eager_words,m_eager_bytes,m_eager_next_bytes,eager_score
50,ccc0392.campuscluster.illinois.edu,intra,0,1.1134015e-06,1.1134015e-06,1.0560084751122636e-09,7.5756967756812035,22.58846367254197,1011,8088,8224,0.23664149152611266
51,ccc0392.campuscluster.illinois.edu,intra,1,1.016779e-06,1.011629e-06,7.456976155840871e-10,10.728209173277016,24.43726191095315,1011,8088,8224,0.27460480226544765
52,ccc0392.campuscluster.illinois.edu,intra,0,1.1164675e-06,1.1164675e-06,1.0569413951208552e-09,7.569010010328194,22.599160853514114,1011,8088,8224,0.23593497410336003
53,ccc0392.campuscluster.illinois.edu,intra,1,1.0107275e-06,1.0107275e-06,7.466987959072909e-10,10.713824695912955,22.8744914465742,1011,8088,8224,0.28690700044764467
54,ccc0392.campuscluster.illinois.edu,intra,0,1.1143535e-06,1.1143535e-06,5.650754748803575e-10,14.157400835160695,22.58760713632075,1011,8088,8224,0.2420869908254182
55,ccc0392.campuscluster.illinois.edu,intra,1,9.97908e-07,9.949875e-07,7.455497754727722e-10,10.730336542489058,24.36626539833761,1011,8088,8224,0.28153809022558257
56,ccc0392.campuscluster.illinois.edu,intra,0,1.1154305e-06,1.1154305e-06,8.372757257957459e-10,9.554797486093138,22.586776872891676,1011,8088,8224,0.23270807021883966
57,ccc0392.campuscluster.illinois.edu,intra,1,1.0176755e-06,1.0152565e-06,4.537879168593081e-10,17.629380824788047,30.41763681001908,1011,8088,8224,0.2862652201710946
58,ccc0392.campuscluster.illinois.edu,intra,0,1.0828945e-06,1.0828945e-06,1.0524525922370746e-09,7.601292503822278,22.36863707833108,1011,8088,8224,0.23042780046800418
59,ccc0392.campuscluster.illinois.edu,intra,1,1.020045e-06,1.020045e-06,4.571822359960365e-10,17.49849265812103,22.896438770062897,1011,8088,8224,0.2889041043408293
60,ccc0392.campuscluster.illinois.edu,intra,0,1.0932835e-06,1.0826485e-06,1.0557823393924304e-09,7.577319397674097,22.391462343711407,1011,8088,8224,0.2386889939226524
61,ccc0392.campuscluster.illinois.edu,intra,1,1.0262965e-06,1.0262965e-06,7.475512828621424e-10,10.70160694443661,22.912350462885396,1011,8088,8224,0.2820874958696862
