# P=64 nodes=1 M=63 msg_vol=100000 nsizes=500 host0=ccc0391.campuscluster.illinois.edu date=2026-09-12T00:27:34
partner,partner_host,class,nwds,bytes,nloop,t_half_s,mb_per_s
0,ccc0391.campuscluster.illinois.edu,self,3350,26800,29,2.815508621e-05,951.8706
0,ccc0391.campuscluster.illinois.edu,self,3404,27232,29,2.830053448e-05,962.2433
0,ccc0391.campuscluster.illinois.edu,self,3459,27672,28,2.890962500e-05,957.1899
0,ccc0391.campuscluster.illinois.edu,self,3515,28120,28,2.903521429e-05,968.4792
0,ccc0391.campuscluster.illinois.edu,self,3572,28576,27,3.011800000e-05,948.8014
0,ccc0391.campuscluster.illinois.edu,self,3630,29040,27,3.026829630e-05,959.4197
0,ccc0391.campuscluster.illinois.edu,self,3689,29512,27,2.996122222e-05,985.0065
0,ccc0391.campuscluster.illinois.edu,self,3749,29992,26,3.070763462e-05,976.6952
0,ccc0391.campuscluster.illinois.edu,self,3810,30480,26,3.075386538e-05,991.0949
0,ccc0391.campuscluster.illinois.edu,self,3871,30968,25,3.505402000e-05,883.4365
0,ccc0391.campuscluster.illinois.edu,self,3933,31464,25,3.221246000e-05,976.7649
0,ccc0391.campuscluster.illinois.edu,self,3996,31968,25,3.188044000e-05,1002.7465
0,ccc0391.campuscluster.illinois.edu,self,4060,32480,24,3.302864583e-05,983.3888
0,ccc0391.campuscluster.illinois.edu,self,4125,33000,24,3.335093750e-05,989.4774
0,ccc0391.campuscluster.illinois.edu,self,4192,33536,23,3.386050000e-05,990.4166
0,ccc0391.campuscluster.illinois.edu,self,4260,34080,23,3.458578261e-05,985.3760
0,ccc0391.campuscluster.illinois.edu,self,4329,34632,23,3.417173913e-05,1013.4691
0,ccc0391.campuscluster.illinois.edu,self,4399,35192,22,3.540075000e-05,994.1032
